pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
58.0,-89.7,180.0,top,C1,,,C_0603,30p,smt
95.3,-98.5,180.0,top,C10,,,C_0603,100n,smt
115.6,-95.4,-90.0,top,C11,,,C_0603,100n,smt
119.4,-99.3,90.0,top,C12,,,C_0603,100n,smt
111.9,-91.2,180.0,top,C13,,,C_0603,1u,smt
97.0,-84.8,180.0,top,C14,,,C_0603,100n,smt
124.1,-105.4,180.0,top,C15,,,c_elec_8x10.5,470u,smt
99.3,-82.5,90.0,top,C16,,,C_0603,100n,smt
97.1,-90.2,90.0,top,C17,,,C_0603,100n,smt
97.1,-93.4,-90.0,top,C18,,,C_0603,100n,smt
102.6,-93.4,-90.0,top,C19,,,C_0603,100n,smt
58.0,-95.2,180.0,top,C2,,,C_0603,47p,smt
102.6,-90.3,90.0,top,C20,,,C_0603,100n,smt
58.0,-105.0,180.0,top,C3,,,C_0603,47p,smt
58.0,-109.5,180.0,top,C4,,,C_0603,30p,smt
97.0,-83.2,180.0,top,C5,,,C_0603,100n,smt
113.8,-122.8,-90.0,top,C6,,,C_0805,10u,smt
111.9,-123.2,-90.0,top,C7,,,C_0603,100n,smt
90.4,-122.3,-90.0,top,C8,,,C_0603,100n,smt
92.4,-122.3,-90.0,top,C9,,,C_0805,10u,smt
61.3,-77.0,180.0,top,CN1,,,WR-SMA-PCB,60312202114509,tht
54.7,-130.0,0.0,top,CN2,,,ARDUINO,ARDUINO,tht
141.5,-95.0,-90.0,top,CN3,,,1503_07,CON_KLINKE3,tht
141.5,-106.8,-90.0,top,CN4,,,1501_03,CON_KLINKE3,tht
56.7,-113.96,0.0,top,CN5,,,Pin_Header_Straight_1x03,CONN_01X03,tht
116.7,-101.3,180.0,top,CN6,,,Pin_Header_Straight_1x02,CONN_01X02,tht
61.6,-122.1,0.0,top,CN7,,,WR-TBL_691322310002,691322310002,tht
137.0,-84.2,0.0,top,D1,,,LED_0603,Led_red,smt
137.0,-87.8,0.0,top,D2,,,LED_0603,Led_yellow,smt
137.0,-80.8,0.0,top,D3,,,LED_0603,Led_green,smt
115.6,-86.1,90.0,top,D4,,,SOD-123,BAT46ZFILM,smt
64.4,-91.8,-90.0,top,L1,,,WE-CAIR_4248,744912156,tht
63.5,-99.6,180.0,top,L2,,,WE-CAIR_4248,744912156,tht
64.5,-107.3,-90.0,top,L3,,,WE-CAIR_4248,744912156,tht
95.5,-116.5,90.0,top,Q1,,,SOT-23,2N7002,smt
95.5,-111.3,90.0,top,Q2,,,SOT-23,2N7002,smt
95.5,-106.1,90.0,top,Q3,,,SOT-23,2N7002,smt
135.0,-82.5,180.0,top,R1,,,R_0603,1k,smt
95.3,-103.5,180.0,top,R10,,,R_0603,1k,smt
98.5,-107.0,180.0,top,R11,,,R_0603,100,smt
113.5,-85.7,90.0,top,R12,,,R_0603,4k7,smt
102.7,-82.5,-90.0,top,R13,,,R_0603,4k7,smt
101.0,-82.5,90.0,top,R14,,,R_0603,1k,smt
102.3,-118.8,0.0,top,R15,,,R_0603,121,smt
95.3,-100.1,0.0,top,R16,,,R_0603,1k,smt
102.3,-117.1,180.0,top,R17,,,R_0603,300,smt
60.9,-118.8,180.0,top,R18,,,R_0603,100,smt
108.2,-95.9,90.0,top,R19,,,R_0603,20k,smt
98.0,-115.2,90.0,top,R2,,,R_0603,4k7,smt
98.2,-98.5,180.0,top,R20,,,R_0603,20k,smt
115.6,-92.6,90.0,top,R21,,,R_0603,4k7,smt
115.6,-89.9,90.0,top,R22,,,R_0603,100,smt
121.1,-99.4,90.0,top,R23,,,R_0603,2k,smt
118.7,-112.9,-90.0,top,R24,,,R_0603,1k,smt
121.9,-112.9,-90.0,top,R25,,,R_0603,1k,smt
124.4,-112.9,-90.0,top,R26,,,R_0603,1k,smt
124.5,-99.3,90.0,top,R27,,,R_0603,4k7,smt
64.4,-91.8,90.0,top,R28,,,R_0603,DNI,smt
63.5,-99.6,0.0,top,R29,,,R_0603,DNI,smt
98.5,-117.4,180.0,top,R3,,,R_0603,100,smt
64.5,-107.3,90.0,top,R30,,,R_0603,DNI,smt
98.2,-100.1,0.0,top,R31,,,R_0603,1k,smt
119.3,-81.8,-90.0,top,R32,,,R_0603,DNI,smt
98.0,-110.0,90.0,top,R33,,,R_0603,4k7,smt
98.0,-104.8,90.0,top,R34,,,R_0603,4k7,smt
71.15,-123.1,180.0,top,R35,,,R_0603,100k,smt
67.5,-123.1,180.0,top,R36,,,R_0603,20k,smt
99.9,-95.8,180.0,top,R4,,,R_0603,DNI,smt
100.0,-87.7,180.0,top,R5,,,R_0603,DNI,smt
135.0,-86.0,180.0,top,R6,,,R_0603,1k,smt
135.0,-79.0,180.0,top,R7,,,R_0603,1k,smt
95.3,-108.7,180.0,top,R8,,,R_0603,1k,smt
98.5,-112.2,180.0,top,R9,,,R_0603,100,smt
122.4,-83.0,0.0,top,S1,,,dip_1-300,SW_DIP_x1,tht
129.0,-80.6,180.0,top,SW1,,,WE_4312x6xxx7x6,TAST_HOR,tht
131.0,-121.8,-90.0,top,SW2,,,ALPS_EC11E,ALPS_EC11E,tht
81.0,-100.7,0.0,top,U1,,,DRA818,DRA818,tht
109.9,-117.6,90.0,top,U2,,,TO-263-3Lead,LT1085,smt
112.0,-95.9,-90.0,top,U3,,,SOIC-8_3.9x4.9mm_Pitch1.27mm,LM4871,smt
99.9,-93.4,0.0,top,U4,,,SOT-23-6,SN74LVC1T45,smt
99.9,-90.2,180.0,top,U5,,,SOT-23-6,SN74LVC1T45,smt
